"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1974-01",99.49,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1974-02",99.29,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1974-03",99.27,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1974-04",99.35,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1974-05",99.37,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1974-06",99.26,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1974-07",99.08,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1974-08",98.88,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1974-09",98.69,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1974-10",98.53,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1974-11",98.5,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1974-12",98.56,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1975-01",98.69,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1975-02",98.78,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1975-03",98.85,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1975-04",98.94,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1975-05",99.04,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1975-06",99.13,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1975-07",99.25,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1975-08",99.35,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1975-09",99.46,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1975-10",99.64,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1975-11",99.94,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1975-12",100.34,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1976-01",100.74,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1976-02",100.99,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1976-03",101.1,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1976-04",101.13,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1976-05",101.1,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1976-06",100.99,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1976-07",100.81,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1976-08",100.61,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1976-09",100.44,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1976-10",100.34,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1976-11",100.4,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1976-12",100.53,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1977-01",100.66,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1977-02",100.65,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1977-03",100.5,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1977-04",100.28,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1977-05",100.2,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1977-06",100.35,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1977-07",100.67,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1977-08",101.03,
"OEU","CCI","AMPLITUD","LTRENDIDX","M","1977-09",101.38,
