time,open,high,low,close,"EU03MY, TVC: Open","EU03MY, TVC: High","EU03MY, TVC: Low","EU03MY, TVC: Close"
2000-01-02T22:00:00Z,4.8093,4.8093,4.8093,4.8093,3.08,3.08,3.08,3.08
2000-01-03T22:00:00Z,4.912,4.912,4.912,4.912,3.081,3.081,3.081,3.081
2000-01-04T22:00:00Z,4.9178,4.9178,4.9178,4.9178,3.02,3.02,3.02,3.02
2000-01-05T22:00:00Z,4.9444,4.9444,4.9444,4.9444,3.071,3.071,3.071,3.071
2000-01-06T22:00:00Z,4.8109,4.8109,4.8109,4.8109,2.99,2.99,2.99,2.99
2000-01-09T22:00:00Z,4.7779,4.7779,4.7779,4.7779,3.07,3.07,3.07,3.07
2000-01-10T22:00:00Z,4.9071,4.9071,4.9071,4.9071,3.06,3.06,3.06,3.06
2000-01-11T22:00:00Z,4.9272,4.9272,4.9272,4.9272,3.08,3.08,3.08,3.08
2000-01-12T22:00:00Z,4.9203,4.9203,4.9203,4.9203,3.05,3.05,3.05,3.05
2000-01-13T22:00:00Z,4.9063,4.9063,4.9063,4.9063,3.04,3.04,3.04,3.04
2000-01-16T22:00:00Z,4.9547,4.9547,4.9547,4.9547,3.081,3.081,3.081,3.081
2000-01-17T22:00:00Z,5.0082,5.0082,5.0082,5.0082,3.08,3.08,3.08,3.08
2000-01-18T22:00:00Z,5.0069,5.0069,5.0069,5.0069,3.07,3.07,3.07,3.07
2000-01-19T22:00:00Z,5.029,5.029,5.029,5.029,3.071,3.071,3.071,3.071
2000-01-20T22:00:00Z,5.0343,5.0343,5.0343,5.0343,3.06,3.06,3.06,3.06
2000-01-23T22:00:00Z,5.0468,5.0468,5.0468,5.0468,3.12,3.12,3.12,3.12
2000-01-24T22:00:00Z,4.9817,4.9817,4.9817,4.9817,3.09,3.09,3.09,3.09
2000-01-25T22:00:00Z,4.9658,4.9658,4.9658,4.9658,3.12,3.12,3.12,3.12
2000-01-26T22:00:00Z,5.1025,5.1025,5.1025,5.1025,3.17,3.17,3.17,3.17
2000-01-27T22:00:00Z,5.059,5.059,5.059,5.059,3.141,3.141,3.141,3.141
2000-01-30T22:00:00Z,5.0325,5.0325,5.0325,5.0325,3.2871,3.2871,3.2871,3.2871
2000-01-31T22:00:00Z,4.909,4.909,4.909,4.909,3.285,3.285,3.285,3.285
2000-02-01T22:00:00Z,4.9902,4.9902,4.9902,4.9902,3.2769,3.2769,3.2769,3.2769
2000-02-02T22:00:00Z,4.9419,4.9419,4.9419,4.9419,3.2563,3.2563,3.2563,3.2563
2000-02-03T22:00:00Z,4.9788,4.9788,4.9788,4.9788,3.22,3.22,3.22,3.22
2000-02-06T22:00:00Z,5.072,5.072,5.072,5.072,3.2871,3.2871,3.2871,3.2871
2000-02-07T22:00:00Z,5.0577,5.0577,5.0577,5.0577,3.242,3.242,3.242,3.242
2000-02-08T22:00:00Z,5.0884,5.0884,5.0884,5.0884,3.2159,3.2159,3.2159,3.2159
2000-02-09T22:00:00Z,5.1184,5.1184,5.1184,5.1184,3.2461,3.2461,3.2461,3.2461
2000-02-10T22:00:00Z,5.1509,5.1509,5.1509,5.1509,3.2554,3.2554,3.2554,3.2554
2000-02-13T22:00:00Z,5.1045,5.1045,5.1045,5.1045,3.232,3.232,3.232,3.232
2000-02-14T22:00:00Z,5.1173,5.1173,5.1173,5.1173,3.2569,3.2569,3.2569,3.2569
2000-02-15T22:00:00Z,5.1482,5.1482,5.1482,5.1482,3.2363,3.2363,3.2363,3.2363
2000-02-16T22:00:00Z,5.1018,5.1018,5.1018,5.1018,3.2258,3.2258,3.2258,3.2258
2000-02-17T22:00:00Z,5.1442,5.1442,5.1442,5.1442,3.2453,3.2453,3.2453,3.2453
2000-02-20T22:00:00Z,5.197,5.197,5.197,5.197,3.3481,3.3481,3.3481,3.3481
2000-02-21T22:00:00Z,5.071,5.071,5.071,5.071,3.3379,3.3379,3.3379,3.3379
2000-02-22T22:00:00Z,5.111,5.111,5.111,5.111,3.3481,3.3481,3.3481,3.3481
2000-02-23T22:00:00Z,5.045,5.045,5.045,5.045,3.313,3.313,3.313,3.313
2000-02-24T22:00:00Z,5.085,5.085,5.085,5.085,3.3062,3.3062,3.3062,3.3062
2000-02-27T22:00:00Z,5.133,5.133,5.133,5.133,3.358,3.358,3.358,3.358
2000-02-28T22:00:00Z,5.147,5.147,5.147,5.147,3.358,3.358,3.358,3.358
2000-02-29T22:00:00Z,5.13,5.13,5.13,5.13,3.3681,3.3681,3.3681,3.3681
