time,EU05YOpen,EU05YHigh,EU05YLow,EU05YClose,EU03MYOpen,EU03MYHigh,EU03MYLow,EU03MYClose
2000-01,4.8093,4.8093,4.8093,4.8093,3.08,3.08,3.08,3.08
2000-02,4.9902,4.9902,4.9902,4.9902,3.2769,3.2769,3.2769,3.2769
2000-03,5.178,5.178,5.178,5.178,3.3475,3.3475,3.3475,3.3475
2000-04,4.92,4.92,4.92,4.92,3.53,3.53,3.53,3.53
2000-05,5.148,5.148,5.148,5.148,3.945,3.945,3.945,3.945
2000-06,4.979,4.979,4.979,4.979,4.1,4.1,4.1,4.1
2000-07,5.13,5.13,5.13,5.13,4.2655,4.2655,4.2655,4.2655
2000-08,5.158,5.158,5.158,5.158,4.363,4.363,4.363,4.363
2000-09,5.19,5.19,5.19,5.19,4.62,4.62,4.62,4.62
2000-10,5.146,5.146,5.146,5.146,4.69,4.69,4.69,4.69
2000-11,5.126,5.126,5.126,5.126,4.8481,4.8481,4.8481,4.8481
2000-12,4.84,4.84,4.84,4.84,4.747,4.747,4.747,4.747
2001-01,4.447,4.447,4.447,4.447,4.6541,4.6541,4.6541,4.6541
2001-02,4.572,4.572,4.572,4.572,4.63,4.63,4.63,4.63
2001-03,4.524,4.524,4.524,4.524,4.66,4.66,4.66,4.66
2001-04,4.399,4.399,4.399,4.399,4.48,4.48,4.48,4.48
2001-05,4.768,4.768,4.768,4.768,4.705,4.705,4.705,4.705
2001-06,4.673,4.673,4.673,4.673,4.3279,4.3279,4.3279,4.3279
2001-07,4.658,4.658,4.658,4.658,4.2553,4.2553,4.2553,4.2553
2001-08,4.529,4.529,4.529,4.529,4.3258,4.3258,4.3258,4.3258
2001-09,4.29,4.29,4.29,4.29,4.15,4.15,4.15,4.15
2001-10,4.066,4.066,4.066,4.066,3.455,3.455,3.455,3.455
2001-11,3.729,3.729,3.729,3.729,3.375,3.375,3.375,3.375
2001-12,4.004,4.004,4.004,4.004,3.155,3.155,3.155,3.155
2002-01,4.49,4.49,4.49,4.49,3.15,3.15,3.15,3.15
2002-02,4.453,4.453,4.453,4.453,3.27,3.27,3.27,3.27
2002-03,4.635,4.635,4.635,4.635,3.28,3.28,3.28,3.28
2002-04,4.916,4.916,4.916,4.916,3.36,3.36,3.36,3.36
2002-05,4.82,4.82,4.82,4.82,3.315,3.315,3.315,3.315
2002-06,4.828,4.828,4.828,4.828,3.4,3.4,3.4,3.4
2002-07,4.523,4.523,4.523,4.523,3.35,3.35,3.35,3.35
2002-08,4.108,4.108,4.108,4.108,3.25,3.25,3.25,3.25
2002-09,3.993,3.993,3.993,3.993,3.25,3.25,3.25,3.25
2002-10,3.754,3.754,3.754,3.754,3.08,3.08,3.08,3.08
2002-11,3.83,3.83,3.83,3.83,3.035,3.035,3.035,3.035
2002-12,3.828,3.828,3.828,3.828,2.93,2.93,2.93,2.93
2003-01,3.496,3.496,3.496,3.496,2.79,2.79,2.79,2.79
2003-02,3.341,3.341,3.341,3.341,2.71,2.71,2.71,2.71
2003-03,3.05,3.05,3.05,3.05,2.418,2.418,2.418,2.418
2003-04,3.36,3.36,3.36,3.36,2.39,2.39,2.39,2.39
2003-05,3.26,3.26,3.26,3.26,2.4,2.4,2.4,2.4
