,Unnamed: 0,time,EU05Y,EU03MY,EUCCI,yield%,CCIdata,yieldData
0,0,2000-01,4.8093,3.08,102.54,1.7293000000000005,,
1,1,2000-02,4.9902,3.2769,102.53,1.7132999999999998,-0.010000000000005116,-0.01600000000000068
2,2,2000-03,5.178,3.3475,102.49,1.8305,-0.04000000000000625,0.11720000000000019
3,3,2000-04,4.92,3.53,102.45,1.39,-0.03999999999999204,-0.4405000000000001
4,4,2000-05,5.148,3.945,102.42,1.2029999999999998,-0.030000000000001137,-0.18700000000000006
5,5,2000-06,4.979,4.1,102.38,0.8790000000000004,-0.04000000000000625,-0.3239999999999994
6,6,2000-07,5.13,4.2655,102.36,0.8644999999999996,-0.01999999999999602,-0.014500000000000846
7,7,2000-08,5.158,4.363,102.28,0.7949999999999999,-0.0799999999999983,-0.06949999999999967
8,8,2000-09,5.19,4.62,102.13,0.5700000000000003,-0.15000000000000568,-0.22499999999999964
9,9,2000-10,5.146,4.69,102.16,0.4559999999999995,0.030000000000001137,-0.11400000000000077
10,10,2000-11,5.126,4.8481,102.25,0.2779000000000007,0.09000000000000341,-0.17809999999999881
11,11,2000-12,4.84,4.747,102.33,0.0929999999999999,0.0799999999999983,-0.18490000000000079
12,12,2001-01,4.447,4.6541,102.35,-0.2070999999999996,0.01999999999999602,-0.3000999999999995
13,13,2001-02,4.572,4.63,102.27,-0.0579999999999998,-0.0799999999999983,0.1490999999999998
14,14,2001-03,4.524,4.66,102.17,-0.1360000000000001,-0.09999999999999432,-0.07800000000000029
15,15,2001-04,4.399,4.48,102.03,-0.0810000000000004,-0.14000000000000057,0.05499999999999969
16,16,2001-05,4.768,4.705,101.91,0.0629999999999997,-0.12000000000000455,0.1440000000000001
17,17,2001-06,4.673,4.3279,101.82,0.3451000000000004,-0.09000000000000341,0.2821000000000007
18,18,2001-07,4.658,4.2553,101.7,0.4027000000000003,-0.11999999999999034,0.057599999999999874
19,19,2001-08,4.529,4.3258,101.53,0.2031999999999998,-0.1700000000000017,-0.19950000000000048
20,20,2001-09,4.29,4.15,101.37,0.1399999999999996,-0.1599999999999966,-0.0632000000000002
21,21,2001-10,4.066,3.455,101.29,0.6109999999999998,-0.0799999999999983,0.4710000000000002
22,22,2001-11,3.729,3.375,101.32,0.3540000000000001,0.029999999999986926,-0.2569999999999997
23,23,2001-12,4.004,3.155,101.45,0.8489999999999998,0.13000000000000966,0.49499999999999966
24,24,2002-01,4.49,3.15,101.58,1.3400000000000003,0.12999999999999545,0.49100000000000055
25,25,2002-02,4.453,3.27,101.65,1.1830000000000005,0.07000000000000739,-0.1569999999999998
26,26,2002-03,4.635,3.28,101.64,1.355,-0.010000000000005116,0.1719999999999995
27,27,2002-04,4.916,3.36,101.57,1.5560000000000005,-0.07000000000000739,0.2010000000000005
28,28,2002-05,4.82,3.315,101.49,1.5050000000000003,-0.0799999999999983,-0.051000000000000156
29,29,2002-06,4.828,3.4,101.37,1.4280000000000004,-0.11999999999999034,-0.07699999999999996
30,30,2002-07,4.523,3.35,101.28,1.1729999999999996,-0.09000000000000341,-0.2550000000000008
31,31,2002-08,4.108,3.25,101.17,0.8579999999999997,-0.10999999999999943,-0.31499999999999995
32,32,2002-09,3.993,3.25,101.07,0.7429999999999999,-0.10000000000000853,-0.11499999999999977
33,33,2002-10,3.754,3.08,100.89,0.6739999999999999,-0.1799999999999926,-0.06899999999999995
34,34,2002-11,3.83,3.035,100.62,0.7949999999999999,-0.269999999999996,0.121
35,35,2002-12,3.828,2.93,100.31,0.8979999999999997,-0.3100000000000023,0.10299999999999976
36,36,2003-01,3.496,2.79,100.07,0.706,-0.2400000000000091,-0.19199999999999973
37,37,2003-02,3.341,2.71,99.91,0.6310000000000002,-0.1599999999999966,-0.07499999999999973
38,38,2003-03,3.05,2.418,99.87,0.6319999999999997,-0.03999999999999204,0.0009999999999994458
39,39,2003-04,3.36,2.39,99.99,0.9699999999999998,0.11999999999999034,0.3380000000000001
