"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1974-01",97.5826,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1974-02",97.62972,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1974-03",97.71487,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1974-04",97.86694,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1974-05",98.02058,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1974-06",98.11207,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1974-07",98.17377,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1974-08",98.24256,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1974-09",98.29819,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1974-10",98.19443,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1974-11",97.85149,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1974-12",97.35976,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1975-01",96.82678,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1975-02",96.12491,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1975-03",95.42435,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1975-04",94.90297,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1975-05",94.70291,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1975-06",94.95592,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1975-07",95.4874,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1975-08",96.05947,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1975-09",96.5834,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1975-10",97.04363,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1975-11",97.46976,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1975-12",97.9724,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1976-01",98.56496,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1976-02",99.15713,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1976-03",99.70618,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1976-04",100.1209,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1976-05",100.2086,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1976-06",99.75614,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1976-07",98.93863,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1976-08",98.02755,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1976-09",97.21638,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1976-10",96.7877,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1976-11",96.93227,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1976-12",97.43378,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1977-01",98.02028,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1977-02",98.35859,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1977-03",98.4599,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1977-04",98.58943,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1977-05",98.9171,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1977-06",99.63603,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1977-07",100.6349,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1977-08",101.7708,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1977-09",102.8629,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1977-10",103.7959,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1977-11",104.4205,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1977-12",104.8601,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1978-01",105.1341,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1978-02",105.2149,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1978-03",105.249,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1978-04",105.2289,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1978-05",105.2066,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1978-06",105.066,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1978-07",104.793,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1978-08",104.368,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1978-09",103.7913,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1978-10",103.0117,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1978-11",102.0074,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1978-12",101.0698,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1979-01",100.5671,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1979-02",100.8906,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1979-03",101.7173,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1979-04",102.6778,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1979-05",103.2746,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1979-06",103.1605,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1979-07",102.5347,
