time,US05YOpen,US05YHigh,US05YLow,US05YClose,US03MYOpen,US03MYHigh,US03MYLow,US03MYClose
1987-08,8.09500027,8.09500027,8.09500027,8.09500027,,,,
1987-09,8.77499962,8.77499962,8.77499962,8.77499962,,,,
1987-10,9.22500038,9.22500038,9.22500038,9.22500038,,,,
1987-11,8.43599987,8.43599987,8.43599987,8.43599987,,,,
1987-12,8.48799992,8.48799992,8.48799992,8.48799992,,,,
1988-01,8.35000038,8.35000038,8.35000038,8.35000038,,,,
1988-02,7.76999998,7.76999998,7.76999998,7.76999998,,,,
1988-03,7.65999985,7.65999985,7.65999985,7.65999985,,,,
1988-04,8.18999958,8.18999958,8.18999958,8.18999958,,,,
1988-05,8.3920002,8.3920002,8.3920002,8.3920002,,,,
1988-06,8.60900021,8.60900021,8.60900021,8.60900021,,,,
1988-07,8.42800045,8.42800045,8.42800045,8.42800045,,,,
1988-08,8.68500042,8.68500042,8.68500042,8.68500042,,,,
1988-09,8.97099972,8.97099972,8.97099972,8.97099972,,,,
1988-10,8.57699966,8.57699966,8.57699966,8.57699966,,,,
1988-11,8.37100029,8.37100029,8.37100029,8.37100029,,,,
1988-12,8.8920002,8.8920002,8.8920002,8.8920002,,,,
1989-01,9.23200035,9.23200035,9.23200035,9.23200035,,,,
1989-02,9.03600025,9.03600025,9.03600025,9.03600025,,,,
1989-03,9.43099976,9.43099976,9.43099976,9.43099976,,,,
1989-04,9.37899971,9.37899971,9.37899971,9.37899971,,,,
1989-05,9.17199993,9.17199993,9.17199993,9.17199993,,,,
1989-06,8.65100002,8.65100002,8.65100002,8.65100002,,,,
1989-07,7.98699999,7.98699999,7.98699999,7.98699999,,,,
1989-08,7.50500011,7.50500011,7.50500011,7.50500011,,,,
1989-09,8.20100021,8.20100021,8.20100021,8.20100021,,,,
1989-10,8.33500004,8.33500004,8.33500004,8.33500004,,,,
1989-11,7.83799982,7.83799982,7.83799982,7.83799982,,,,
1989-12,7.70300007,7.70300007,7.70300007,7.70300007,,,,
1990-01,7.91099977,7.91099977,7.91099977,7.91099977,7.65799999,7.65799999,7.65799999,7.65799999
1990-02,8.33699989,8.33699989,8.33699989,8.33699989,,,,
