"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-01",101.6762,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-02",101.4002,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-03",101.1618,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-04",101.0303,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-05",101.0635,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-06",101.1575,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-07",101.1773,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-08",101.0272,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-09",100.7944,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-10",100.6012,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-11",100.5385,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-12",100.5611,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-01",100.6131,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-02",100.6685,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-03",100.7422,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-04",100.8727,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-05",101.0856,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-06",101.3017,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-07",101.4054,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-08",101.3107,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-09",101.1389,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-10",101.0528,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-11",101.1674,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-12",101.3758,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-01",101.5247,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-02",101.4954,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-03",101.3463,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-04",101.1521,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-05",100.9636,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-06",100.8132,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-07",100.7435,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-08",100.7973,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-09",100.9283,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-10",101.0898,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-11",101.2466,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-12",101.3568,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-01",101.3578,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-02",101.1994,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-03",100.9854,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-04",100.8502,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-05",100.8913,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-06",101.0228,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-07",101.1317,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-08",101.1441,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-09",101.114,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-10",101.1272,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-11",101.2462,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-12",101.4143,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-01",101.5498,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-02",101.5931,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-03",101.5858,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-04",101.5845,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-05",101.6271,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-06",101.6912,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-07",101.7403,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-08",101.7477,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-09",101.7359,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-10",101.74,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-11",101.7895,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-12",101.8754,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-01",101.9885,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-02",102.1218,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-03",102.2463,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-04",102.3199,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-05",102.3065,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-06",102.2452,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-07",102.1794,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-08",102.1346,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-09",102.099,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-10",102.0485,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-11",101.9603,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-12",101.8429,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-01",101.7021,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-02",101.5364,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-03",101.3563,
